지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),이슬점온도(°C),일조(hr),일사(MJ/m2),적설(cm),지면온도(°C)
133,대전,2025/12/27 21:00,0.3,0,0.3,0,87,-1.6,,,,-1
133,대전,2025/12/27 22:00,0.5,,0.8,140,89,-1.1,,,0.3,-1
133,대전,2025/12/27 23:00,0.5,,1.7,180,90,-0.9,,,0.3,-1
133,대전,2025/12/28 0:00,0.8,0.1,1.7,160,91,-0.5,,,0.3,-1
133,대전,2025/12/28 1:00,0.3,,0.8,110,92,-0.8,,,0.3,-1.1
133,대전,2025/12/28 2:00,-0.2,,0.7,110,93,-1.2,,,0.3,-1.1
133,대전,2025/12/28 3:00,-0.7,,0,0,94,-1.5,,,0.3,-1.2
133,대전,2025/12/28 4:00,-0.6,,0,0,93,-1.5,,,0.3,-1.1
133,대전,2025/12/28 5:00,-0.2,,0.1,0,92,-1.3,,,0.3,-1.1
133,대전,2025/12/28 6:00,0,,0.6,110,92,-1.1,,,0.3,-1.1
133,대전,2025/12/28 7:00,0.3,,0.1,0,92,-0.8,,,0.3,-1.1
133,대전,2025/12/28 8:00,0.4,,0,0,90,-1,0,0,,-1.1
133,대전,2025/12/28 9:00,0.9,,0,0,91,-0.4,0,0.06,,-1
133,대전,2025/12/28 10:00,2.2,,0.6,140,86,0,0,0.3,,-0.9
133,대전,2025/12/28 11:00,3.8,,0.3,0,80,0.6,0,0.61,,-0.4
133,대전,2025/12/28 12:00,5.2,,1.1,160,74,0.9,0,0.8,,1
133,대전,2025/12/28 13:00,8,,2.7,180,61,0.9,0.8,1.75,,2.9
133,대전,2025/12/28 14:00,9.2,,2,250,53,0.1,0.6,1.31,,4.3
133,대전,2025/12/28 15:00,9.1,,3.2,200,54,0.2,0.7,1.13,,5.8
133,대전,2025/12/28 16:00,8.1,,1.3,230,58,0.3,0.4,0.56,,4.2
133,대전,2025/12/28 17:00,7.4,,1.5,200,60,0.1,0,0.16,,3.1
133,대전,2025/12/28 18:00,6.9,,0.8,230,62,0.1,0,0.01,,2.5
133,대전,2025/12/28 19:00,6.4,,1.7,200,64,0,,,,1.7
133,대전,2025/12/28 20:00,6,,1.6,200,67,0.3,,,,1.8
133,대전,2025/12/28 21:00,4.9,,0.4,0,71,0,,,,0.9
133,대전,2025/12/28 22:00,4.7,,1.2,250,73,0.2,,,,1.1
133,대전,2025/12/28 23:00,3.9,,0.8,230,74,-0.3,,,,-0.2
133,대전,2025/12/29 0:00,2.8,,1.3,340,82,0,,,,-0.3
133,대전,2025/12/29 1:00,2.1,,0.9,290,84,-0.3,,,,-0.8
133,대전,2025/12/29 2:00,2,,0,0,85,-0.2,,,,-0.7
133,대전,2025/12/29 3:00,2.1,,0.5,360,83,-0.4,,,,-0.8
133,대전,2025/12/29 4:00,1.9,,1,110,85,-0.3,,,,-0.9
133,대전,2025/12/29 5:00,1.5,,2.5,340,86,-0.5,,,,-1
133,대전,2025/12/29 6:00,1.2,,0.7,160,90,-0.2,,,,-1
133,대전,2025/12/29 7:00,2.3,,0.1,0,88,0.5,,,,-0.9
133,대전,2025/12/29 8:00,2.5,,1.4,230,94,1.6,0,0,,-0.7
133,대전,2025/12/29 9:00,4.5,0.6,1.7,230,94,3.6,0,0.05,,0.5
133,대전,2025/12/29 10:00,5.8,,2.3,200,94,4.9,0,0.23,,2.1
133,대전,2025/12/29 11:00,8.5,,2.6,200,81,5.4,0.6,0.92,,5.9
133,대전,2025/12/29 12:00,9.2,0,1.9,230,77,5.3,0.1,0.59,,6.1
133,대전,2025/12/29 13:00,9.6,,1.6,250,76,5.5,0,0.51,,7.9
133,대전,2025/12/29 14:00,10.9,,1.8,290,67,5,0.5,1.08,,9.2
133,대전,2025/12/29 15:00,11.4,0.4,2.8,290,59,3.6,0.9,1.13,,9
133,대전,2025/12/29 16:00,10.7,,3.2,290,56,2.2,0.4,0.55,,7.3
133,대전,2025/12/29 17:00,9.7,,1.9,290,59,2,0.1,0.26,,5.6
133,대전,2025/12/29 18:00,8,,2.2,320,63,1.3,0,0.01,,3.3
133,대전,2025/12/29 19:00,6.6,,2.3,340,69,1.3,,,,2.2
133,대전,2025/12/29 20:00,5.2,,1.6,320,78,1.6,,,,1.3
133,대전,2025/12/29 21:00,4.1,,1.4,320,80,0.9,,,,0.2
133,대전,2025/12/29 22:00,3.7,,2.2,340,83,1,,,,-0.2
133,대전,2025/12/29 23:00,2.5,,2.1,340,87,0.5,,,,-0.5
133,대전,2025/12/30 0:00,1.5,,2.2,340,89,-0.1,,,,-0.6
133,대전,2025/12/30 1:00,1.3,,1.5,340,90,-0.1,,,,-0.7
133,대전,2025/12/30 2:00,0.8,,1.1,50,87,-1.1,,,,-0.9
133,대전,2025/12/30 3:00,-0.4,,1,360,79,-3.6,,,,-1.3
133,대전,2025/12/30 4:00,-0.7,,0.1,0,75,-4.5,,,,-1.5
133,대전,2025/12/30 5:00,-1.5,,1.1,50,66,-7,,,,-1.8
133,대전,2025/12/30 6:00,-2,,1.1,360,61,-8.5,,,,-1.9
133,대전,2025/12/30 7:00,-2.3,,0.6,160,59,-9.2,,,,-2.2
133,대전,2025/12/30 8:00,-2.9,,0.3,0,61,-9.3,0.1,0.01,,-2.3
133,대전,2025/12/30 9:00,-0.2,,0.1,0,51,-9.1,1,0.36,,-1.4
133,대전,2025/12/30 10:00,1.5,,2.4,340,35,-12.3,1,0.96,,-0.8
133,대전,2025/12/30 11:00,3.1,,2.1,320,27,-14.1,1,1.5,,-0.5
133,대전,2025/12/30 12:00,3.7,,3.2,340,28,-13.1,1,1.84,,0.3
133,대전,2025/12/30 13:00,4.2,,1.7,320,23,-15.1,1,1.97,,1.7
133,대전,2025/12/30 14:00,4.7,,4.4,20,22,-15.2,1,1.87,,4.5
133,대전,2025/12/30 15:00,5.8,,1.7,340,23,-13.7,1,1.51,,5.3
133,대전,2025/12/30 16:00,4.6,,3.3,320,23,-14.8,1,1.02,,2.7
133,대전,2025/12/30 17:00,2.4,,3.5,320,29,-13.8,0.6,0.34,,0.3
133,대전,2025/12/30 18:00,0.8,,1.6,320,32,-14,0,0.02,,-0.5
133,대전,2025/12/30 19:00,-0.2,,1.5,320,37,-13.1,,,,-0.9
133,대전,2025/12/30 20:00,-1,,1.9,340,44,-11.7,,,,-1.3
133,대전,2025/12/30 21:00,-1.8,,1.9,340,48,-11.3,,,,-1.6
133,대전,2025/12/30 22:00,-1.8,,1,320,45,-12.1,,,,-1.8
133,대전,2025/12/30 23:00,-2.2,,1.4,270,52,-10.7,,,,-1.9
133,대전,2025/12/31 0:00,-2.4,,0.9,290,53,-10.6,,,,-1.9
133,대전,2025/12/31 1:00,-2.2,,1,320,54,-10.2,,,,-1.7
133,대전,2025/12/31 2:00,-2.6,,2,340,58,-9.7,,,,-1.8
133,대전,2025/12/31 3:00,-2.8,,1.9,340,61,-9.2,,,,-1.9
133,대전,2025/12/31 4:00,-2.4,,0.6,360,59,-9.3,,,,-1.6
133,대전,2025/12/31 5:00,-1.9,,3.1,320,63,-8,,,,-1.6
133,대전,2025/12/31 6:00,-3.1,,0.4,0,70,-7.8,,,,-2.1
133,대전,2025/12/31 7:00,-3.9,,2.2,320,62,-10.1,,,,-2.4
133,대전,2025/12/31 8:00,-4.6,,2.4,320,48,-13.9,0,0,,-2.7
133,대전,2025/12/31 9:00,-3.2,,3.8,320,36,-16.1,0.9,0.36,,-2.1
133,대전,2025/12/31 10:00,-2.6,,3.6,320,26,-19.5,1,1,,-1.4
133,대전,2025/12/31 11:00,-1.2,,4.3,320,25,-18.7,1,1.55,,-0.8
133,대전,2025/12/31 12:00,-0.8,,4.2,320,21,-20.4,1,1.88,,-0.4
133,대전,2025/12/31 13:00,-0.3,,4.2,340,18,-21.8,1,2.01,,0.3
133,대전,2025/12/31 14:00,-0.1,,4.5,320,18,-21.6,1,1.87,,0.1
133,대전,2025/12/31 15:00,-0.5,,5.7,320,23,-19.1,1,1.54,,-0.3
133,대전,2025/12/31 16:00,-1.3,,5,320,24,-19.3,1,1.07,,-0.8
133,대전,2025/12/31 17:00,-3,,3.6,340,30,-18.1,0.6,0.38,,-1.3
133,대전,2025/12/31 18:00,-4.2,,3.2,320,39,-16.1,0,0.02,,-1.8
133,대전,2025/12/31 19:00,-4.8,,3.2,320,45,-14.9,,,,-2
133,대전,2025/12/31 20:00,-5.5,,1.5,320,46,-15.3,,,,-2.3
133,대전,2025/12/31 21:00,-5.3,,1.8,290,47,-14.8,,,,-2.5
133,대전,2025/12/31 22:00,-6.2,,1.6,340,53,-14.2,,,,-2.8
133,대전,2025/12/31 23:00,-6.7,,1.9,320,56,-14,,,,-3.1
133,대전,2026/01/01 0:00,-7.3,,1.6,320,61,-13.5,,,,-3.4
133,대전,2026/01/01 1:00,-7.4,,2.1,360,62,-13.4,,,,-3.6
133,대전,2026/01/01 2:00,-8,,1.9,320,49,-16.8,,,,-4
133,대전,2026/01/01 3:00,-8.9,,1.2,340,48,-17.9,,,,-4.3
133,대전,2026/01/01 4:00,-9.1,,2.7,320,45,-18.8,,,,-4.7
133,대전,2026/01/01 5:00,-9.9,,1.3,360,48,-18.8,,,,-5
133,대전,2026/01/01 6:00,-10.6,,1,340,53,-18.3,,,,-5.3
133,대전,2026/01/01 7:00,-10.1,,0.7,320,51,-18.3,,,,-5.6
133,대전,2026/01/01 8:00,-10.2,,0.6,340,56,-17.3,0,0.01,,-5.4
133,대전,2026/01/01 9:00,-8.3,,1.6,320,50,-16.8,0.1,0.24,,-4
133,대전,2026/01/01 10:00,-6.6,,1.3,360,45,-16.5,0.7,0.69,,-2.3
133,대전,2026/01/01 11:00,-5.5,,2.6,360,32,-19.6,0.5,0.96,,-1.3
133,대전,2026/01/01 12:00,-4.2,,4.3,320,28,-20,0.8,1.2,,-1
133,대전,2026/01/01 13:00,-2.8,,4.1,340,23,-21.1,1,1.45,,-0.7
133,대전,2026/01/01 14:00,-1.6,,3.2,320,19,-22.2,1,1.74,,-0.2
133,대전,2026/01/01 15:00,-1.1,,2.8,320,18,-22.4,1,1.48,,-0.4
133,대전,2026/01/01 16:00,-1.7,,4.5,320,19,-22.3,1,1.02,,-0.8
133,대전,2026/01/01 17:00,-2.9,,3.3,320,24,-20.7,0.6,0.35,,-1.3
133,대전,2026/01/01 18:00,-4,,2.1,320,29,-19.4,0,0.02,,-2.5
133,대전,2026/01/01 19:00,-4.7,,2.3,320,35,-17.8,,,,-3.5
133,대전,2026/01/01 20:00,-5.1,,2.5,320,43,-15.7,,,,-3.7
133,대전,2026/01/01 21:00,-5.5,,1.9,320,50,-14.3,,,,-4.1
133,대전,2026/01/01 22:00,-5.7,,2.3,320,53,-13.7,,,,-4.3
133,대전,2026/01/01 23:00,-5.8,,2.2,320,57,-12.9,,,,-4.5
133,대전,2026/01/02 0:00,-6.7,,1.7,340,60,-13.1,,,,-4.8
133,대전,2026/01/02 1:00,-7.4,,2.8,360,59,-14,,,,-5.1
133,대전,2026/01/02 2:00,-8.5,,2,20,52,-16.6,,,,-5.3
133,대전,2026/01/02 3:00,-9.6,,0.7,360,53,-17.4,,,,-5.8
133,대전,2026/01/02 4:00,-9.7,,1,20,53,-17.5,,,,-6.1
133,대전,2026/01/02 5:00,-9.9,,0.8,340,57,-16.8,,,,-6.2
133,대전,2026/01/02 6:00,-10.2,,1.3,340,62,-16.1,,,,-6.2
133,대전,2026/01/02 7:00,-10.8,,0.5,360,59,-17.2,,,,-6.6
133,대전,2026/01/02 8:00,-10.4,,0.9,50,56,-17.5,0.1,0.01,,-6.7
133,대전,2026/01/02 9:00,-8.5,,2.1,20,47,-17.8,1,0.34,,-5.5
133,대전,2026/01/02 10:00,-7.3,,1.5,20,46,-16.9,1,0.95,,-3.9
133,대전,2026/01/02 11:00,-5.9,,2.6,20,42,-16.7,1,1.48,,-1.8
133,대전,2026/01/02 12:00,-4.3,,1.3,200,37,-16.8,1,1.83,,-0.7
133,대전,2026/01/02 13:00,-2.6,,1.2,180,35,-15.9,1,1.97,,0.1
133,대전,2026/01/02 14:00,-1.7,,1.7,290,32,-16.2,1,1.86,,0.1
133,대전,2026/01/02 15:00,-1.1,,2,320,33,-15.3,1,1.53,,-0.2
133,대전,2026/01/02 16:00,-1,,2.1,250,38,-13.5,1,1.04,,-0.7
133,대전,2026/01/02 17:00,-2.6,,3.1,320,46,-12.6,0.6,0.37,,-1.1
133,대전,2026/01/02 18:00,-3.4,,3.2,320,48,-12.8,0,0.02,,-1.9
133,대전,2026/01/02 19:00,-4.4,,3.5,320,55,-12.1,,,,-2.9
133,대전,2026/01/02 20:00,-4.9,,2.5,320,60,-11.4,,,,-3.9
133,대전,2026/01/02 21:00,-5.2,0,2.6,320,64,-10.9,,,,-4.1
133,대전,2026/01/02 22:00,-6.2,,1,340,69,-10.9,,,,-4.7
133,대전,2026/01/02 23:00,-6.7,,1.3,50,78,-9.9,,,,-5
133,대전,2026/01/03 0:00,-7.6,0,0.9,360,81,-10.3,,,,-5.4
133,대전,2026/01/03 1:00,-8.4,,0.6,340,84,-10.6,,,,-5.8
133,대전,2026/01/03 2:00,-8.4,,1.3,340,77,-11.7,,,,-6.1
133,대전,2026/01/03 3:00,-9.1,,1.1,320,78,-12.2,,,,-6.3
133,대전,2026/01/03 4:00,-9.2,,0.5,20,78,-12.3,,,,-6.5
133,대전,2026/01/03 5:00,-9.7,,1.9,340,80,-12.5,,,,-6.6
133,대전,2026/01/03 6:00,-9.8,,0.4,0,80,-12.6,,,,-6.7
133,대전,2026/01/03 7:00,-10.2,,2,340,82,-12.6,,,,-6.8
133,대전,2026/01/03 8:00,-10,,1,340,81,-12.6,0.1,0.01,,-6.8
133,대전,2026/01/03 9:00,-7.8,,0.4,0,73,-11.8,1,0.34,,-5.4
133,대전,2026/01/03 10:00,-4.4,,0.4,0,65,-10,1,0.94,,-3.4
133,대전,2026/01/03 11:00,-1.8,,1.2,180,56,-9.4,1,1.41,,-1.2
133,대전,2026/01/03 12:00,0.4,,1.6,140,53,-8,1,1.77,,-0.3
133,대전,2026/01/03 13:00,1.8,,1,270,44,-9.1,1,1.86,,0.8
133,대전,2026/01/03 14:00,1.9,,1.8,140,43,-9.3,0.3,1.24,,0.2
133,대전,2026/01/03 15:00,2,,1.7,180,43,-9.2,0.3,0.91,,0.1
133,대전,2026/01/03 16:00,1.7,,0.5,180,45,-8.9,0,0.39,,-0.6
133,대전,2026/01/03 17:00,1.4,,1.3,230,55,-6.6,0,0.12,,-0.9
133,대전,2026/01/03 18:00,0.9,,1.2,200,58,-6.4,0,0.01,,-0.9
133,대전,2026/01/03 19:00,0.6,,1.4,230,62,-5.8,,,,-1
133,대전,2026/01/03 20:00,0.4,,0.3,0,64,-5.6,,,,-1
133,대전,2026/01/03 21:00,0.4,,0.2,0,67,-5,,,,-1
133,대전,2026/01/03 22:00,0.2,,0.2,0,67,-5.2,,,,-1
133,대전,2026/01/03 23:00,0.1,,0.4,0,69,-4.9,,,,-1
133,대전,2026/01/04 0:00,0,,0.6,360,68,-5.2,,,,-1
133,대전,2026/01/04 1:00,0.1,,0.6,20,69,-4.9,,,,-1
133,대전,2026/01/04 2:00,0.2,,0.9,360,70,-4.6,,,,-1.1
133,대전,2026/01/04 3:00,0.1,,0.9,20,71,-4.5,,,,-1.1
133,대전,2026/01/04 4:00,0.2,,0.9,140,73,-4,,,,-1.1
133,대전,2026/01/04 5:00,0.6,,0.2,0,72,-3.8,,,,-1.1
133,대전,2026/01/04 6:00,0.9,,0.9,230,71,-3.7,,,,-1.1
133,대전,2026/01/04 7:00,0.5,,0.4,0,72,-3.9,,,,-1.1
133,대전,2026/01/04 8:00,0.1,,1.1,20,72,-4.3,0,0,,-1.4
133,대전,2026/01/04 9:00,0.1,,0.3,0,73,-4.1,0,0.18,,-1.4
133,대전,2026/01/04 10:00,2.8,,0.2,0,63,-3.5,0.8,0.68,,-0.8
133,대전,2026/01/04 11:00,4.7,,1.8,320,59,-2.6,0.8,1.08,,-0.3
133,대전,2026/01/04 12:00,6,,3.9,320,55,-2.3,0.6,1.28,,2.2
133,대전,2026/01/04 13:00,6.5,,3,320,52,-2.6,0.9,1.74,,2.6
133,대전,2026/01/04 14:00,5.9,,4.1,340,52,-3.2,1,1.38,,2.2
133,대전,2026/01/04 15:00,6.5,,3.2,320,49,-3.4,0.9,1.33,,1.4
133,대전,2026/01/04 16:00,6.8,,2.4,320,43,-4.9,1,0.92,,0.5
133,대전,2026/01/04 17:00,5.2,,2.1,320,41,-7,0.1,0.23,,-0.8
133,대전,2026/01/04 18:00,3.7,,2.3,340,50,-5.7,0,0.02,,-0.9
133,대전,2026/01/04 19:00,2.8,,1.6,340,55,-5.3,,,,-1
133,대전,2026/01/04 20:00,2,,2.1,320,62,-4.5,,,,-1
133,대전,2026/01/04 21:00,1.9,,1.2,340,62,-4.6,,,,-1
133,대전,2026/01/04 22:00,1.1,,1.6,340,68,-4.1,,,,-1.1
133,대전,2026/01/04 23:00,0.7,,1.9,340,70,-4.1,,,,-1.1
133,대전,2026/01/05 0:00,0.7,,1.5,340,69,-4.3,,,,-1.1
133,대전,2026/01/05 1:00,0.4,,0.8,340,71,-4.2,,,,-1.1
133,대전,2026/01/05 2:00,0.2,,0.1,0,74,-3.8,,,,-1.3
133,대전,2026/01/05 3:00,-0.4,,1.7,340,76,-4.1,,,,-1.4
133,대전,2026/01/05 4:00,-0.2,,1.8,320,72,-4.6,,,,-1.4
133,대전,2026/01/05 5:00,-1,,1.7,340,72,-5.4,,,,-1.7
133,대전,2026/01/05 6:00,-1.5,,1.1,340,75,-5.3,,,,-1.9
133,대전,2026/01/05 7:00,-2.2,,1.1,90,84,-4.5,,,,-2.2
133,대전,2026/01/05 8:00,-2.7,,0.1,0,82,-5.3,0,0,,-2.5
133,대전,2026/01/05 9:00,-0.7,,0.3,0,78,-4,0.7,0.3,,-1.8
133,대전,2026/01/05 10:00,1.4,,0.3,0,59,-5.7,1,0.88,,-0.9
133,대전,2026/01/05 11:00,2.4,,3.2,320,45,-8.3,1,1.44,,-0.5
133,대전,2026/01/05 12:00,3.6,,2.3,320,43,-7.8,1,1.83,,0
133,대전,2026/01/05 13:00,4.7,,2.3,320,35,-9.4,1,1.89,,0.6
133,대전,2026/01/05 14:00,4.9,,4.1,320,21,-15.6,1,1.87,,0.9
133,대전,2026/01/05 15:00,5,,3.9,320,18,-17.4,1,1.58,,1
133,대전,2026/01/05 16:00,3.8,,3.8,320,19,-17.7,1,1.12,,-0.5
133,대전,2026/01/05 17:00,1.1,,3.8,320,26,-16.3,0.7,0.42,,-0.9
133,대전,2026/01/05 18:00,-0.9,,3.5,320,31,-15.9,0,0.02,,-1.3
133,대전,2026/01/05 19:00,-2,,2.4,320,39,-14.1,,,,-1.5
133,대전,2026/01/05 20:00,-2.9,,1.3,320,42,-14,,,,-1.8
133,대전,2026/01/05 21:00,-2,,1.5,290,40,-13.8,,,,-2.2
133,대전,2026/01/05 22:00,-3.2,,1.2,270,46,-13.2,,,,-2.4
133,대전,2026/01/05 23:00,-3.9,,1.2,320,52,-12.3,,,,-2.8
133,대전,2026/01/06 0:00,-4.4,,0.2,0,56,-11.8,,,,-2.9
133,대전,2026/01/06 1:00,-4.6,,0.8,360,58,-11.6,,,,-3.2
133,대전,2026/01/06 2:00,-5.1,,0.4,0,60,-11.6,,,,-3.4
133,대전,2026/01/06 3:00,-5.2,,1.1,340,62,-11.3,,,,-3.7
133,대전,2026/01/06 4:00,-6.1,,1.1,320,66,-11.4,,,,-4
133,대전,2026/01/06 5:00,-6.4,,0.3,0,69,-11.1,,,,-4.2
133,대전,2026/01/06 6:00,-6.9,,1.1,320,71,-11.2,,,,-4.4
133,대전,2026/01/06 7:00,-7.3,,1.4,320,73,-11.3,,,,-4.6
133,대전,2026/01/06 8:00,-7.5,,0.5,290,74,-11.3,0.1,0.01,,-4.7
133,대전,2026/01/06 9:00,-4.9,,0.9,320,66,-10.2,1,0.34,,-3.6
133,대전,2026/01/06 10:00,-2.1,,0.9,160,53,-10.4,1,0.97,,-1.9
133,대전,2026/01/06 11:00,0.1,,1.4,180,44,-10.7,1,1.5,,-0.6
133,대전,2026/01/06 12:00,2.1,,1.2,20,35,-11.8,1,1.88,,0
133,대전,2026/01/06 13:00,3.1,,1.7,340,27,-14.1,1,2,,0.7
133,대전,2026/01/06 14:00,4.1,,1.5,140,28,-12.8,1,1.84,,0.8
133,대전,2026/01/06 15:00,5.1,,1.7,110,21,-15.4,1,1.59,,1.2
133,대전,2026/01/06 16:00,4.9,,2.4,160,24,-14,1,1.06,,-0.5
133,대전,2026/01/06 17:00,3.2,,1,140,28,-13.6,0.4,0.31,,-0.8
133,대전,2026/01/06 18:00,2,,0.7,200,31,-13.3,0,0.03,,-1
133,대전,2026/01/06 19:00,1.2,,0.8,250,39,-11.2,,,,-1.1
133,대전,2026/01/06 20:00,0.7,,0.7,270,45,-9.9,,,,-1.1
133,대전,2026/01/06 21:00,0.7,,1.1,200,48,-9,,,,-1.1
133,대전,2026/01/06 22:00,0.7,,0.9,200,48,-9,,,,-1.1
133,대전,2026/01/06 23:00,0.9,,2.1,200,52,-7.8,,,,-1.1
133,대전,2026/01/07 0:00,1.3,,2.1,200,49,-8.2,,,,-1
133,대전,2026/01/07 1:00,1.4,,1.7,200,50,-7.9,,,,-0.9
133,대전,2026/01/07 2:00,1.1,,0.7,110,58,-6.2,,,,-1
133,대전,2026/01/07 3:00,1.2,,1.3,200,61,-5.5,,,,-1
